"group_code","groep_titel","analysis_mode","msi_variant","publicatiestatus","basisjaar","basisjaar_toelichting","eerste_jaar","laatste_jaar","n_bruikbare_soorten","gemiddeld_n_soorten","min_n_soorten","max_n_soorten","cv_n_soorten","samenstelling_waarschuwing","trend_contract","trend_formaliteit","trend_status","trend_methode","overall_trend_pct_per_jaar","trend_pre_pct_per_jaar","trend_post_pct_per_jaar","trendduiding_type"
"fg_v1_lucht","Luchtfoerageerders","binair","robuust","uitsluitend_exploratief",1959,"MSI = 100 in het eerste analysejaar met geldige functionele groepsindex",1959,2025,7,5.40298507462687,2,7,0.221021156099079,"wisselend_soortenaantal","trim-trend-v2","beschrijvend","groeps_msi_zonder_onzekerheidspropagatie","loglineaire samenvatting van functionele groeps-MSI; geen formele inferentie",-5.17042200471187,-8.99673332958948,-0.383800003113555,"beschrijvend_geen_trendklasse"
"fg_v1_zaad","Zaadeters","binair","robuust","robuuste_hoofdgroep",1958,"MSI = 100 in het eerste analysejaar met geldige functionele groepsindex",1958,2025,38,34.6911764705882,13,38,0.151900822003432,"wisselend_soortenaantal","trim-trend-v2","beschrijvend","groeps_msi_zonder_onzekerheidspropagatie","loglineaire samenvatting van functionele groeps-MSI; geen formele inferentie",-1.20327903611528,1.32265633749649,-3.01460233144507,"beschrijvend_geen_trendklasse"
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters","gewogen","volledig","robuuste_hoofdgroep",1958,"MSI = 100 in het eerste analysejaar met geldige functionele groepsindex",1958,2025,60,44.6911764705882,26,52,0.119922708399923,"wisselend_soortenaantal","trim-trend-v2","beschrijvend","groeps_msi_zonder_onzekerheidspropagatie","loglineaire samenvatting van functionele groeps-MSI; geen formele inferentie",-1.63065490356872,1.57349648749863,-2.24887044957667,"beschrijvend_geen_trendklasse"
"fg_v1_grondbroed","Grondbroeders","gewogen","volledig","robuuste_hoofdgroep",1958,"MSI = 100 in het eerste analysejaar met geldige functionele groepsindex",1958,2025,59,43.6617647058824,29,52,0.150817198864268,"wisselend_soortenaantal","trim-trend-v2","beschrijvend","groeps_msi_zonder_onzekerheidspropagatie","loglineaire samenvatting van functionele groeps-MSI; geen formele inferentie",-1.35201155634229,0.947936075485312,-2.44321178801039,"beschrijvend_geen_trendklasse"
"fg_v1_holenbroed","Holenbroeders","gewogen","volledig","robuuste_hoofdgroep",1958,"MSI = 100 in het eerste analysejaar met geldige functionele groepsindex",1958,2025,34,25.6470588235294,7,33,0.255081505356601,"wisselend_soortenaantal","trim-trend-v2","beschrijvend","groeps_msi_zonder_onzekerheidspropagatie","loglineaire samenvatting van functionele groeps-MSI; geen formele inferentie",-2.89719017512324,-1.37530336994052,-4.41521132524845,"beschrijvend_geen_trendklasse"
"fg_v1_lange_trek","Langeafstandstrekkers","gewogen","volledig","robuuste_hoofdgroep",1958,"MSI = 100 in het eerste analysejaar met geldige functionele groepsindex",1958,2025,39,26.2205882352941,13,33,0.178256303195959,"wisselend_soortenaantal","trim-trend-v2","beschrijvend","groeps_msi_zonder_onzekerheidspropagatie","loglineaire samenvatting van functionele groeps-MSI; geen formele inferentie",-1.41619120619308,0.276042863775383,-0.849100381224455,"beschrijvend_geen_trendklasse"
"fg_v1_lucht","Luchtfoerageerders","gewogen","volledig","bruikbaar_met_onzekerheidsanalyse",1959,"MSI = 100 in het eerste analysejaar met geldige functionele groepsindex",1959,2025,14,8.43283582089552,2,14,0.392878193713647,"wisselend_soortenaantal","trim-trend-v2","beschrijvend","groeps_msi_zonder_onzekerheidspropagatie","loglineaire samenvatting van functionele groeps-MSI; geen formele inferentie",-3.26788531347144,-7.73022381530166,-0.45841731674664,"beschrijvend_geen_trendklasse"
"fg_v1_zaad","Zaadeters","gewogen","volledig","robuuste_hoofdgroep",1958,"MSI = 100 in het eerste analysejaar met geldige functionele groepsindex",1958,2025,52,39.7794117647059,14,48,0.192768173239065,"wisselend_soortenaantal","trim-trend-v2","beschrijvend","groeps_msi_zonder_onzekerheidspropagatie","loglineaire samenvatting van functionele groeps-MSI; geen formele inferentie",-2.02545267031002,-0.400765857173124,-3.8619949598047,"beschrijvend_geen_trendklasse"
"fg_v1_bodem_insect","Bodemfoeragerende insecteneters","gewogen","robuust","robuuste_hoofdgroep",1958,"MSI = 100 in het eerste analysejaar met geldige functionele groepsindex",1958,2025,43,39.9411764705882,25,43,0.0798654610365023,"wisselend_soortenaantal","trim-trend-v2","beschrijvend","groeps_msi_zonder_onzekerheidspropagatie","loglineaire samenvatting van functionele groeps-MSI; geen formele inferentie",-1.31583863987668,2.0266969780796,-2.18506396276907,"beschrijvend_geen_trendklasse"
"fg_v1_grondbroed","Grondbroeders","gewogen","robuust","robuuste_hoofdgroep",1958,"MSI = 100 in het eerste analysejaar met geldige functionele groepsindex",1958,2025,40,36.5147058823529,28,40,0.0721463560481643,"wisselend_soortenaantal","trim-trend-v2","beschrijvend","groeps_msi_zonder_onzekerheidspropagatie","loglineaire samenvatting van functionele groeps-MSI; geen formele inferentie",-1.94401746156261,1.88578856913273,-3.99657622412092,"beschrijvend_geen_trendklasse"
"fg_v1_holenbroed","Holenbroeders","gewogen","robuust","robuuste_hoofdgroep",1958,"MSI = 100 in het eerste analysejaar met geldige functionele groepsindex",1958,2025,28,24.0147058823529,7,28,0.225968160749367,"wisselend_soortenaantal","trim-trend-v2","beschrijvend","groeps_msi_zonder_onzekerheidspropagatie","loglineaire samenvatting van functionele groeps-MSI; geen formele inferentie",-2.7305547072629,-1.38566001601289,-4.29206082431723,"beschrijvend_geen_trendklasse"
"fg_v1_lange_trek","Langeafstandstrekkers","gewogen","robuust","robuuste_hoofdgroep",1958,"MSI = 100 in het eerste analysejaar met geldige functionele groepsindex",1958,2025,27,23.0147058823529,13,27,0.104154788095123,"wisselend_soortenaantal","trim-trend-v2","beschrijvend","groeps_msi_zonder_onzekerheidspropagatie","loglineaire samenvatting van functionele groeps-MSI; geen formele inferentie",-1.21899861824143,0.272282071304786,-1.09812078204328,"beschrijvend_geen_trendklasse"
"fg_v1_lucht","Luchtfoerageerders","gewogen","robuust","uitsluitend_exploratief",1959,"MSI = 100 in het eerste analysejaar met geldige functionele groepsindex",1959,2025,7,5.40298507462687,2,7,0.221021156099079,"wisselend_soortenaantal","trim-trend-v2","beschrijvend","groeps_msi_zonder_onzekerheidspropagatie","loglineaire samenvatting van functionele groeps-MSI; geen formele inferentie",-5.19903880412308,-7.73022381530166,-1.78600183942961,"beschrijvend_geen_trendklasse"
"fg_v1_zaad","Zaadeters","gewogen","robuust","robuuste_hoofdgroep",1958,"MSI = 100 in het eerste analysejaar met geldige functionele groepsindex",1958,2025,38,34.6911764705882,13,38,0.151900822003432,"wisselend_soortenaantal","trim-trend-v2","beschrijvend","groeps_msi_zonder_onzekerheidspropagatie","loglineaire samenvatting van functionele groeps-MSI; geen formele inferentie",-1.67566789706907,1.09228267167962,-3.46199048689092,"beschrijvend_geen_trendklasse"
