"soort_id","soort_naam","latijnse_naam","bron_soort_ids","familie","soortgroep","protocolgroep","geldige_tellingtypen","toewijzingsbron","matrixversie","toelichting"
92,"Bokje","Lymnocryptes minimus","92",,"water_wetland","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","expliciete water-/wetlandlijst","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
85,"Bontbekplevier","Charadrius hiaticula","85","Plevieren","water_wetland","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","bestaande soortfamilie","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
227,"Bonte Kraai","Corvus cornix","227","Kraaien","overige_vogels","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","standaard alle vogelsoorten","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
90,"Bonte Strandloper","Calidris alpina","90",,"water_wetland","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","expliciete water-/wetlandlijst","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
205,"Bonte Vliegenvanger","Ficedula hypoleuca","205","Vliegenvangers","overige_vogels","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","standaard alle vogelsoorten","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
215,"Boomklever","Sitta europaea","215","Boomklevers","overige_vogels","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","standaard alle vogelsoorten","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
217,"Boomkruiper","Certhia brachydactyla","217","Boomkruipers","overige_vogels","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","standaard alle vogelsoorten","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
148,"Boomleeuwerik","Lullula arborea","148","Leeuweriken","overige_vogels","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","standaard alle vogelsoorten","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
155,"Boompieper","Anthus trivialis","155","Kwikstaarten","overige_vogels","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","standaard alle vogelsoorten","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
66,"Boomvalk","Falco subbuteo","66","Valken","overige_vogels","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","standaard alle vogelsoorten","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
187,"Bosrietzanger","Acrocephalus palustris","187","Rietzangers","overige_vogels","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","standaard alle vogelsoorten","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
101,"Bosruiter","Tringa glareola","101",,"water_wetland","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","expliciete water-/wetlandlijst","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
131,"Bosuil","Strix aluco","131","Uilen","overige_vogels","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","standaard alle vogelsoorten","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
192,"Braamsluiper","Curruca curruca","192","Grasmussen","overige_vogels","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","standaard alle vogelsoorten","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
26,"Brandgans","Branta leucopsis","26",,"water_wetland","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","bestaande EVG-water/rietgroep","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
47,"Brilduiker","Bucephala clangula","47",,"water_wetland","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","expliciete water-/wetlandlijst","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
635,"Bruine boszanger","Phylloscopus fuscatus","635",,"overige_vogels","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","standaard alle vogelsoorten","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
57,"Bruine Kiekendief","Circus aeruginosus","57","Sperwers","water_wetland","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","bestaande EVG-water/rietgroep","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
62,"Buizerd","Buteo buteo","62","Sperwers","overige_vogels","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","standaard alle vogelsoorten","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
180,"Cetti's Zanger","Cettia cetti","180","Struikzangers","water_wetland","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","expliciete water-/wetlandlijst","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
1,"Dodaars","Tachybaptus ruficollis","1","Futen","water_wetland","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","bestaande EVG-water/rietgroep","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
141,"Draaihals","Jynx torquilla","141","Spechten","overige_vogels","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","standaard alle vogelsoorten","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
442,"Drieteenmeeuw","Rissa tridactyla","442",,"overige_vogels","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","standaard alle vogelsoorten","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
89,"Drieteenstrandloper","Calidris alba","89",,"water_wetland","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","expliciete water-/wetlandlijst","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
154,"Duinpieper","Anthus campestris","154","Kwikstaarten","overige_vogels","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","standaard alle vogelsoorten","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
642,"Dwerggors","Emberiza pusilla","642",,"overige_vogels","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","standaard alle vogelsoorten","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
104,"Dwergmeeuw","Hydrocoloeus minutus","104",,"overige_vogels","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","standaard alle vogelsoorten","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
223,"Ekster","Pica pica","223","Kraaien","overige_vogels","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","standaard alle vogelsoorten","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
56,"Europese Zeearend","Haliaeetus albicilla","56",,"overige_vogels","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","standaard alle vogelsoorten","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
200,"Fitis","Phylloscopus trochilus","200","Boszangers","overige_vogels","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","standaard alle vogelsoorten","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
640,"Frater","Linaria flavirostris","640",,"overige_vogels","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","standaard alle vogelsoorten","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
2,"Fuut","Podiceps cristatus","2","Futen","water_wetland","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","bestaande EVG-water/rietgroep","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
222,"Gaai","Garrulus glandarius","222","Kraaien","overige_vogels","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","standaard alle vogelsoorten","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
249,"Geelgors","Emberiza citrinella","249","Gorzen","overige_vogels","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","standaard alle vogelsoorten","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
170,"Gekraagde Roodstaart","Phoenicurus phoenicurus","170","Vliegenvangers","overige_vogels","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","standaard alle vogelsoorten","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
158,"Gele Kwikstaart","Motacilla flava","158;645","Kwikstaarten","overige_vogels","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","standaard alle vogelsoorten","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
4,"Geoorde Fuut","Podiceps nigricollis","4","Futen","water_wetland","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","bestaande EVG-water/rietgroep","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
71,"Gewone Fazant","Phasianus colchicus","71","Hoenders","overige_vogels","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","standaard alle vogelsoorten","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
136,"Gierzwaluw","Apus apus","136","Gierzwaluwen","overige_vogels","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","standaard alle vogelsoorten","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
208,"Glanskop","Poecile palustris","208","Mezen","overige_vogels","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","standaard alle vogelsoorten","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
201,"Goudhaan","Regulus regulus","201","Goudhanen","overige_vogels","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","standaard alle vogelsoorten","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
87,"Goudplevier","Pluvialis apricaria","87",,"water_wetland","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","expliciete water-/wetlandlijst","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
246,"Goudvink","Pyrrhula pyrrhula","246","Vinken","overige_vogels","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","standaard alle vogelsoorten","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
193,"Grasmus","Curruca communis","193","Grasmussen","overige_vogels","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","standaard alle vogelsoorten","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
643,"Grasparkiet","Melopsittacus undulatus","643",,"overige_vogels","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","standaard alle vogelsoorten","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
156,"Graspieper","Anthus pratensis","156","Kwikstaarten","overige_vogels","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","standaard alle vogelsoorten","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
21,"Grauwe Gans","Anser anser","21","Ganzen","water_wetland","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","bestaande EVG-water/rietgroep","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
203,"Grauwe Vliegenvanger","Muscicapa striata","203","Vliegenvangers","overige_vogels","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","standaard alle vogelsoorten","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
142,"Groene Specht","Picus viridis","142","Spechten","overige_vogels","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","standaard alle vogelsoorten","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
236,"Groenling","Chloris chloris","236","Vinken","overige_vogels","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","standaard alle vogelsoorten","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
99,"Groenpootruiter","Tringa nebularia","99",,"water_wetland","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","expliciete water-/wetlandlijst","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
241,"Grote Barmsijs","Acanthis flammea","241","Vinken","overige_vogels","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","standaard alle vogelsoorten","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
144,"Grote Bonte Specht","Dendrocopos major","144","Spechten","overige_vogels","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","standaard alle vogelsoorten","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
25,"Grote Canadese Gans","Branta canadensis","25;644;646","Ganzen","water_wetland","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","bestaande soortfamilie","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
160,"Grote Gele Kwikstaart","Motacilla cinerea","160","Kwikstaarten","water_wetland","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","expliciete water-/wetlandlijst","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
435,"Grote jager","Stercorarius skua","435",,"overige_vogels","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","standaard alle vogelsoorten","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
244,"Grote Kruisbek","Loxia pytyopsittacus","244","Vinken","overige_vogels","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","standaard alle vogelsoorten","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
179,"Grote Lijster","Turdus viscivorus","179","Lijsters","overige_vogels","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","standaard alle vogelsoorten","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
112,"Grote Mantelmeeuw","Larus marinus","112",,"overige_vogels","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","standaard alle vogelsoorten","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
631,"Grote Pieper","Anthus richardi","631",,"overige_vogels","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","standaard alle vogelsoorten","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
628,"Grote toppereend","Aythya marila","628",,"water_wetland","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","expliciete water-/wetlandlijst","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
51,"Grote Zaagbek","Mergus merganser","51",,"water_wetland","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","expliciete water-/wetlandlijst","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
363,"Grote zee-eend","Melanitta fusca","363",,"water_wetland","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","expliciete water-/wetlandlijst","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
10,"Grote Zilverreiger","Ardea alba","10",,"water_wetland","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","bestaande EVG-water/rietgroep","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
95,"Grutto","Limosa limosa","95",,"water_wetland","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","expliciete water-/wetlandlijst","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
126,"Halsbandparkiet","Psittacula krameri","126","Papegaaien","overige_vogels","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","standaard alle vogelsoorten","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
60,"Havik","Accipiter gentilis","60","Sperwers","overige_vogels","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","standaard alle vogelsoorten","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
165,"Heggenmus","Prunella modularis","165","Heggenmussen","overige_vogels","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","standaard alle vogelsoorten","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
122,"Holenduif","Columba oenas","122","Duiven","overige_vogels","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","standaard alle vogelsoorten","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
123,"Houtduif","Columba palumbus","123","Duiven","overige_vogels","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","standaard alle vogelsoorten","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
94,"Houtsnip","Scolopax rusticola","94","Strandlopers","overige_vogels","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","inhoudelijke uitzondering","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
231,"Huismus","Passer domesticus","231","Mussen","overige_vogels","alle_volledige_bezoeken","Alle vogelsoorten; Watervogels en wetlandsoorten","standaard alle vogelsoorten","winterprotocol-v1-technisch","Volgens de vaste telregel worden tijdens ieder volledig regulier winterbezoek alle waargenomen vogels genoteerd; tellingtype blijft modelcovariaat."
