datareeks_sleutel,analyse_type_code,protocolgeschiktheid,gegevensgeschiktheid,eindbesluit,voorwaarden,kwaliteitsmelding,regelversie,beoordeeld_op
stowa-limnodata-meijendel,V,primair,geschikt,toegelaten,Gebruik meetpunt datum en methode als eenheid.,Positieve aquatische waarnemingen zijn herleidbaar.,analyse-catalogus-v1,2026-09-26
stowa-limnodata-meijendel,I,voorwaardelijk,voorwaardelijk,voorlopig_toegelaten,Beperk tot bezoeken met aantoonbaar vergelijkbaar protocol en soortenbereik.,Niet gemelde soorten zijn niet automatisch nul.,analyse-catalogus-v1,2026-09-26
stowa-limnodata-meijendel,TV,voorwaardelijk,onvoldoende,niet_toegelaten,Volledige bezoekmatrices en afleidbare nullen zijn nodig.,De huidige bron bevat alleen positieve taxonresultaten.,analyse-catalogus-v1,2026-09-26
stowa-limnodata-meijendel,TA,primair,voorwaardelijk,voorlopig_toegelaten,Analyseer alleen gelijke eenheden en methoden; meng aantal per milliliter aantal per vijf meter en Braun-Blanquet niet.,Methode en meeteenheid verschillen tussen resultaten.,analyse-catalogus-v1,2026-09-26
stowa-limnodata-meijendel,TK,voorwaardelijk,voorwaardelijk,voorlopig_toegelaten,Definieer een kwaliteitsmaat die past bij de taxongroep methode en eenheid.,Niet alle meetpunten of jaren zijn onderling vergelijkbaar.,analyse-catalogus-v1,2026-09-26
endure-helmduinfauna-meijendel-2018,V,primair,geschikt,toegelaten,Gebruik alleen de veertien meetpunten met een complete resultaatmatrix.,Eén meetpunt heeft geen resultaatmatrix.,analyse-catalogus-v1,2026-09-26
endure-helmduinfauna-meijendel-2018,I,primair,geschikt,toegelaten,Gebruik de 626 vastgelegde taxa binnen de veertien complete matrices.,Expliciete aanwezigheden en afwezigheden zijn beschikbaar.,analyse-catalogus-v1,2026-09-26
endure-helmduinfauna-meijendel-2018,TV,primair,onvoldoende,niet_toegelaten,Een herhaalde meting volgens hetzelfde protocol is nodig.,Eén meetjaar bevat geen trend door de tijd.,analyse-catalogus-v1,2026-09-26
endure-helmduinfauna-meijendel-2018,TA,voorwaardelijk,onvoldoende,niet_toegelaten,Herhaalde kwantitatieve bemonstering is nodig.,De matrix legt vooral aanwezigheid en afwezigheid in 2018 vast.,analyse-catalogus-v1,2026-09-26
endure-helmduinfauna-meijendel-2018,TK,primair,onvoldoende,niet_toegelaten,Herhaal de gestandaardiseerde kwaliteitsmeting in een later jaar.,De bron is een sterke nulmeting maar nog geen tijdreeks.,analyse-catalogus-v1,2026-09-26
lvd-meijendel-v1-6,V,primair,geschikt,toegelaten,Sluit exacte en waarschijnlijke provinciale PQ-overlap uit.,Opnamen met meer dan 50 meter locatie-onzekerheid zijn niet toegelaten.,analyse-catalogus-v1,2026-09-26
lvd-meijendel-v1-6,I,primair,voorwaardelijk,voorlopig_toegelaten,Selecteer opnamen met een vergelijkbaar opnametype oppervlak en soortenbereik.,Niet iedere historische opname is volgens dezelfde methode gemaakt.,analyse-catalogus-v1,2026-09-26
lvd-meijendel-v1-6,TV,voorwaardelijk,voorwaardelijk,voorlopig_toegelaten,Identificeer eerst herhaalde vergelijkbare locaties en behandel opnamejaren zonder bezoek als ontbrekend.,Niet alle opnamen vormen een vaste meetreeks.,analyse-catalogus-v1,2026-09-26
lvd-meijendel-v1-6,TA,voorwaardelijk,voorwaardelijk,voorlopig_toegelaten,Gebruik alleen vergelijkbare bedekkingsschalen en opnameoppervlakken.,Bedekking is geen individuentelling.,analyse-catalogus-v1,2026-09-26
lvd-meijendel-v1-6,TK,voorwaardelijk,voorwaardelijk,voorlopig_toegelaten,Definieer een vaste vegetatiekwaliteitsmaat binnen herhaalde vergelijkbare opnamen.,Historische heterogeniteit blijft zichtbaar in de selectie.,analyse-catalogus-v1,2026-09-26
nmr-vlinders-meijendel,V,voorwaardelijk,geschikt,toegelaten,Interpreteer de registratie als gedocumenteerd voorkomen en controleer locatie-onzekerheid.,Collectieselectie en verzamelinspanning zijn niet bekend.,analyse-catalogus-v1,2026-09-26
nmr-vlinders-meijendel,I,niet_onderbouwd,onvoldoende,niet_toegelaten,Een complete bemonstering per bezoek ontbreekt.,Een specimenlijst is geen volledige inventarisatie.,analyse-catalogus-v1,2026-09-26
nmr-vlinders-meijendel,TV,niet_onderbouwd,onvoldoende,niet_toegelaten,Herhaalde gestandaardiseerde bezoeken en nullen ontbreken.,Veranderingen in collectie-inspanning kunnen op een trend lijken.,analyse-catalogus-v1,2026-09-26
nmr-vlinders-meijendel,TA,niet_onderbouwd,onvoldoende,niet_toegelaten,Bekende en vergelijkbare verzamelinspanning ontbreekt.,Aantal specimens is geen populatieaantal.,analyse-catalogus-v1,2026-09-26
nmr-vlinders-meijendel,TK,niet_onderbouwd,onvoldoende,niet_toegelaten,Een vaste kwaliteitsmaat en meetopzet ontbreken.,Collectieregistraties ondersteunen geen kwaliteitstrend.,analyse-catalogus-v1,2026-09-26
naturalis-botany-meijendel,V,voorwaardelijk,geschikt,toegelaten,Interpreteer de registratie als gedocumenteerd voorkomen en controleer locatie-onzekerheid.,Collectieselectie en verzamelinspanning zijn niet bekend.,analyse-catalogus-v1,2026-09-26
naturalis-botany-meijendel,I,niet_onderbouwd,onvoldoende,niet_toegelaten,Een complete bemonstering per bezoek ontbreekt.,Een specimenlijst is geen volledige inventarisatie.,analyse-catalogus-v1,2026-09-26
naturalis-botany-meijendel,TV,niet_onderbouwd,onvoldoende,niet_toegelaten,Herhaalde gestandaardiseerde bezoeken en nullen ontbreken.,Veranderingen in collectie-inspanning kunnen op een trend lijken.,analyse-catalogus-v1,2026-09-26
naturalis-botany-meijendel,TA,niet_onderbouwd,onvoldoende,niet_toegelaten,Bekende en vergelijkbare verzamelinspanning ontbreekt.,Aantal specimens is geen populatieaantal.,analyse-catalogus-v1,2026-09-26
naturalis-botany-meijendel,TK,niet_onderbouwd,onvoldoende,niet_toegelaten,Een vaste kwaliteitsmaat en meetopzet ontbreken.,Collectieregistraties ondersteunen geen kwaliteitstrend.,analyse-catalogus-v1,2026-09-26
naturalis-coleoptera-meijendel,V,voorwaardelijk,geschikt,toegelaten,Interpreteer de registratie als gedocumenteerd voorkomen en controleer locatie-onzekerheid.,Collectieselectie en verzamelinspanning zijn niet bekend.,analyse-catalogus-v1,2026-09-26
naturalis-coleoptera-meijendel,I,niet_onderbouwd,onvoldoende,niet_toegelaten,Een complete bemonstering per bezoek ontbreekt.,Een specimenlijst is geen volledige inventarisatie.,analyse-catalogus-v1,2026-09-26
naturalis-coleoptera-meijendel,TV,niet_onderbouwd,onvoldoende,niet_toegelaten,Herhaalde gestandaardiseerde bezoeken en nullen ontbreken.,Veranderingen in collectie-inspanning kunnen op een trend lijken.,analyse-catalogus-v1,2026-09-26
naturalis-coleoptera-meijendel,TA,niet_onderbouwd,onvoldoende,niet_toegelaten,Bekende en vergelijkbare verzamelinspanning ontbreekt.,Aantal specimens is geen populatieaantal.,analyse-catalogus-v1,2026-09-26
naturalis-coleoptera-meijendel,TK,niet_onderbouwd,onvoldoende,niet_toegelaten,Een vaste kwaliteitsmaat en meetopzet ontbreken.,Collectieregistraties ondersteunen geen kwaliteitstrend.,analyse-catalogus-v1,2026-09-26
eis-bijenmonitoring-meijendel,V,primair,onvoldoende,alleen_context,Georeferentieer de achttien proefvlakken en importeer de resultaatmatrix.,Bezoeken zijn bekend maar waarnemingen zijn nog niet analytisch gekoppeld.,analyse-catalogus-v1,2026-09-26
eis-bijenmonitoring-meijendel,I,primair,onvoldoende,niet_toegelaten,Importeer de volledige resultaten per bezoek.,De contextdatabase bevat nog geen soortenmatrix.,analyse-catalogus-v1,2026-09-26
eis-bijenmonitoring-meijendel,TV,primair,onvoldoende,niet_toegelaten,Georeferentie en complete herhaalde bezoekresultaten zijn nodig.,De jaren 2019 2021 en 2023 zijn alleen als bezoekstructuur vastgelegd.,analyse-catalogus-v1,2026-09-26
eis-bijenmonitoring-meijendel,TA,primair,onvoldoende,niet_toegelaten,Importeer aantallen en inspanning per bezoek.,De contextdatabase bevat nog geen tellingen.,analyse-catalogus-v1,2026-09-26
eis-bijenmonitoring-meijendel,TK,voorwaardelijk,onvoldoende,niet_toegelaten,Definieer na import een vaste kwaliteitsmaat.,De contextdatabase bevat nog geen ecologische uitkomsten.,analyse-catalogus-v1,2026-09-26
aquatische-macrofauna-meijendel-1974-1975,V,primair,onvoldoende,alleen_context,Georeferentieer de zeven monsterpunten en importeer de resultaten.,Alleen watercodes en methodeperioden zijn vastgelegd.,analyse-catalogus-v1,2026-09-26
aquatische-macrofauna-meijendel-1974-1975,I,primair,onvoldoende,niet_toegelaten,Importeer de volledige monsterresultaten.,De contextdatabase bevat nog geen taxonmatrix.,analyse-catalogus-v1,2026-09-26
aquatische-macrofauna-meijendel-1974-1975,TV,voorwaardelijk,onvoldoende,niet_toegelaten,Herhaalde vergelijkbare monsterresultaten en locaties zijn nodig.,De huidige tabellen beschrijven alleen de meetopzet.,analyse-catalogus-v1,2026-09-26
aquatische-macrofauna-meijendel-1974-1975,TA,primair,onvoldoende,niet_toegelaten,Importeer kwantitatieve resultaten per methodeperiode.,De huidige tabellen bevatten geen aantallen of dichtheden.,analyse-catalogus-v1,2026-09-26
aquatische-macrofauna-meijendel-1974-1975,TK,voorwaardelijk,onvoldoende,niet_toegelaten,Importeer resultaten en definieer een vergelijkbare waterkwaliteitsmaat.,De huidige tabellen bevatten geen ecologische uitkomsten.,analyse-catalogus-v1,2026-09-26
duinvallei-vegetatie-context,V,primair,onvoldoende,alleen_context,Koppel iedere Site-code betrouwbaar aan een locatie in Meijendel.,De waarnemingsmatrix is compleet maar niet geografisch toegelaten.,analyse-catalogus-v1,2026-09-26
duinvallei-vegetatie-context,I,primair,onvoldoende,alleen_context,Koppel iedere Site-code betrouwbaar aan een locatie in Meijendel.,De volledige soortenmatrix blijft context zolang de ligging ontbreekt.,analyse-catalogus-v1,2026-09-26
duinvallei-vegetatie-context,TV,primair,onvoldoende,alleen_context,Koppel vaste Site-codes aan locaties en sluit afwijkende opname 18I01 uit.,De herhaalde matrix ondersteunt pas daarna ruimtelijk geldige trends.,analyse-catalogus-v1,2026-09-26
duinvallei-vegetatie-context,TA,primair,onvoldoende,alleen_context,Koppel vaste Site-codes aan locaties en gebruik vergelijkbare bedekkingsmaten.,Zonder locatie voldoet de reeks niet aan de toelatingsregel.,analyse-catalogus-v1,2026-09-26
duinvallei-vegetatie-context,TK,primair,onvoldoende,alleen_context,Koppel vaste Site-codes aan locaties en definieer de kwaliteitsmaat.,De data-inhoud is rijk maar ruimtelijk nog niet toegelaten.,analyse-catalogus-v1,2026-09-26
jachtspinnen-1969-1970,V,voorwaardelijk,onvoldoende,alleen_context,Vind de vertaling van de 28 locatienummers naar werkelijke plaatsen.,De matrix is niet per waarneming geografisch herleidbaar.,analyse-catalogus-v1,2026-09-26
jachtspinnen-1969-1970,I,voorwaardelijk,onvoldoende,alleen_context,Georeferentieer locaties en reconstrueer datums en vangrondes.,De samengevoegde matrix is geen volledige bezoekadministratie.,analyse-catalogus-v1,2026-09-26
jachtspinnen-1969-1970,TV,niet_onderbouwd,onvoldoende,niet_toegelaten,Datums en herhaalde vangrondes zijn nodig.,De huidige matrix ondersteunt geen ontwikkeling door de tijd.,analyse-catalogus-v1,2026-09-26
jachtspinnen-1969-1970,TA,voorwaardelijk,onvoldoende,alleen_context,Georeferentieer locaties en reconstrueer vangstinspanning.,Aantallen zijn niet aan afzonderlijke vangrondes gekoppeld.,analyse-catalogus-v1,2026-09-26
jachtspinnen-1969-1970,TK,niet_onderbouwd,onvoldoende,niet_toegelaten,Een herhaalde kwaliteitsmeting ontbreekt.,De bron ondersteunt alleen een historische soorten-milieuanalyse.,analyse-catalogus-v1,2026-09-26
vogelstand-meijendel-1924,V,voorwaardelijk,onvoldoende,alleen_context,Koppel iedere regel aan een betrouwbare locatie wanneer de bron dat toelaat.,De regels bieden historische gebiedscontext zonder locatie per waarneming.,analyse-catalogus-v1,2026-09-26
vogelstand-meijendel-1924,I,niet_onderbouwd,onvoldoende,niet_toegelaten,Een volledige soortenlijst en onderzoeksbegrenzing ontbreken.,De bron is beschrijvende historische context.,analyse-catalogus-v1,2026-09-26
vogelstand-meijendel-1924,TV,niet_onderbouwd,onvoldoende,niet_toegelaten,Herhaalde vergelijkbare meeteenheden ontbreken.,Eén historische bron vormt geen trend.,analyse-catalogus-v1,2026-09-26
vogelstand-meijendel-1924,TA,niet_onderbouwd,onvoldoende,niet_toegelaten,Bekende telinspanning en herhaalde tellingen ontbreken.,De regels bevatten geen vergelijkbare aantalsreeks.,analyse-catalogus-v1,2026-09-26
vogelstand-meijendel-1924,TK,niet_onderbouwd,onvoldoende,niet_toegelaten,Een vaste kwaliteitsmaat en herhaalde meting ontbreken.,De bron ondersteunt geen kwaliteitstrend.,analyse-catalogus-v1,2026-09-26
