protocol_sleutel,protocol_code,protocol_naam,levering_scope,hoofdtype,aanvullend_gebruik,aanvullende_typen,wetenschappelijk_gebruik,passende_analyse,benodigde_onderzoekscontext,begrenzing,bron_nummers,bron_urls
104.000,104.000,Waarnemingen uit literatuur,beide,V,Andere typen afhankelijk van de oorspronkelijke studie,,Historisch voorkomen en reconstructie van gedocumenteerde verspreiding.,Bronkritiek en teruggaan naar oorspronkelijke observaties of onderzoeksopzet.,"Volledige bronverwijzing, waarnemingsdatum, locatie, taxonomie en ontdubbeling.",Publicatiejaar niet gelijkstellen aan waarnemingsjaar; bronlabel kan verschillende methoden verbergen.,"66, 70","[""https://ndff.nl/natuurdata/waarnemen-en-aanleveren/protocollen/"", ""https://ndff.nl/natuurdata/waarnemen-en-aanleveren/protocollen/overzicht-waarnemingen-via-protocol/""]"
105.000,105.000,Waarnemingen uit collecties,beide,V,TV bij onderbouwde historische reconstructie,TV,"Hercontroleerbaar historisch voorkomensbewijs, taxonomische revisie en verspreidingsreconstructie.",Specimen- en etiketcontrole; historische analyse met verzamelbias.,"Collectie-/specimen-ID, verzamelaar, vindplaats, verzameldatum en determinatie.",Aantal verzamelde exemplaren is geen directe trend in de populatie.,19,"[""https://ndff.nl/natuurdata/waarnemen-en-aanleveren/protocollen/105-000-waarnemingen-uit-collecties/""]"
11.201,11.201,Meetnet Bospaddenstoelen (NEM),beide,TA,Historische vruchtlichaamindex; protocol eindigde in 2016,,Verandering in getelde vruchtlichamen op vaste proefvlakken binnen het oude meetnet.,"Telmodel met proefvlak, seizoen en jaar; oorspronkelijke telreeks afzonderlijk houden.","Vast proefvlak, bezoek, telinspanning, vruchtlichaamaantal, fenologie en methodeversie.",Geen trend in schimmelindividuen of biomassa; niet ongewijzigd koppelen aan 11.204.,"20, 22","[""https://ndff.nl/natuurdata/waarnemen-en-aanleveren/protocollen/11-201-meetnet-bospaddenstoelen-nem/"", ""https://www.cbs.nl/nl-nl/onze-diensten/methoden/onderzoeksomschrijvingen/korte-onderzoeksomschrijvingen/paddenstoelenstatistiek""]"
11.202,11.202,Zeereeppaddenstoelen (NEM),beide,TV,,,Verspreidings- en bezettingstrends van doelsoorten in de zeereep.,Bezettingsanalyse van kilometerhokken met herbezoeken en detectie-/lijstcorrectie.,"Hok, bezoeklijsten, herhaling, doelsoorten en onderzoeksinspanning.",Geen automatische aantalstrend van vruchtlichamen of ondergrondse schimmels.,"21, 22","[""https://ndff.nl/natuurdata/waarnemen-en-aanleveren/protocollen/11-202-zeereeppaddenstoelen/"", ""https://www.cbs.nl/nl-nl/onze-diensten/methoden/onderzoeksomschrijvingen/korte-onderzoeksomschrijvingen/paddenstoelenstatistiek""]"
12.001,12.001,Streeplijsten kilometerhokken vaatplanten (FLORBASE),beide,I,TV bij vergelijkbare herhaalde inventarisatie,TV,Soortenrijkdom en samenstelling van geïnventariseerde hokken; verspreidingsanalyse.,"Hok-/periodevergelijking met inspanning, volledigheid en detectie in het model.","Volledige lijsten, waarnemer, bezoekdata, tijdsbesteding en taxonomische harmonisatie.",Verschillende lijstlengtes of zoekintensiteit niet als ecologische verandering behandelen.,"23, 71","[""https://ndff.nl/natuurdata/waarnemen-en-aanleveren/protocollen/12-001-totaalproject-floron/"", ""https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2664.12158""]"
12.002,12.002,Bedreigde Soorten Project FLORON,beide,I,TV / TA bij vergelijkbare groeiplaatsherbezoeken,"TA,TV","Status, omvang en bedreigingen van onderzochte groeiplaatsen van doelsoorten.",Gepaarde groeiplaatsvergelijking of geschikt tel-/bezettingsmodel.,"Historische en actuele locatie, zoekinspanning, tel-/abundantie-eenheid en niet-teruggevonden locaties.",Gerichte selectie van zeldzame groeiplaatsen is geen representatieve steekproef van alle flora.,24,"[""https://ndff.nl/natuurdata/waarnemen-en-aanleveren/protocollen/12-002-bedreigde-soorten-project-floron/""]"
12.003,12.003,Rode Lijst Project FLORON,beide,I,TV / TA bij vergelijkbare herhaalde metingen,"TA,TV",Voorkomen en vastgelegde populatiekenmerken van onderzochte Rode-Lijstsoorten.,Groeiplaatsanalyse met consistente omvangklassen en onderzochte locaties.,"Groeiplaats-ID, soort, tel-/klasse-eenheid, datum en onderzoeksinspanning.",Een Rode-Lijstdoel of abundantiewaarde is op zichzelf nog geen longitudinaal meetnet.,25,"[""https://ndff.nl/natuurdata/waarnemen-en-aanleveren/protocollen/12-003-rode-lijst-project-floron/""]"
12.004,12.004,FLORIVON en Atlas van de Nederlandse Flora (1850–1975),beide,V,TV bij geharmoniseerde historische vergelijking,TV,Historische verspreidingsreferentie en reconstructie van verandering tussen perioden.,Vergelijking op gemeenschappelijke taxonomische en ruimtelijke resolutie; bemonstering corrigeren.,"Oorspronkelijke waarnemingsperioden, locatieschaal, naamgeving en brondekking.",Atlaspublicatiejaar en gegevensperiode onderscheiden; geen ruwe recordratio als trend.,26,"[""https://ndff.nl/natuurdata/waarnemen-en-aanleveren/protocollen/12-004-atlasgegevens-atlas-van-de-nederlandse-flora-1980-1989/""]"
12.006,12.006,Detailwaarnemingen FLORON (FLORBASE),beide,V,I / TV wanneer de oorspronkelijke projectcontext beschikbaar is,"I,TV","Precieze groeiplaatsen, verspreiding en signalering van bijzondere vondsten.",Voorkomensanalyse; projecten scheiden voordat vergelijkingen worden gemaakt.,"Projectherkomst, precisie, datum, determinatie en eventuele bezoekgegevens.",Heterogene detail- en losse waarnemingen niet als één telreeks behandelen.,27,"[""https://ndff.nl/natuurdata/waarnemen-en-aanleveren/protocollen/12-006-florabase-overige-losse-waarnemingen-na-1993/""]"
12.007,12.007,Vegetatieopnamen,beide,I,TK bij vergelijkbare heropnamen,TK,"Vegetatiesamenstelling, soortenco-existentie en bedekking waar deze is vastgelegd.",Vegetatieclassificatie of multivariate analyse; herhaalde opnamen voor verandering.,"Plotgeometrie, oppervlakte, datum, soortenlijst, bedekkingsschaal en protocol.",Niet iedere opname is een permanent proefvlak; ordinale bedekkingsklassen niet blind middelen.,28,"[""https://ndff.nl/natuurdata/waarnemen-en-aanleveren/protocollen/12-007-vegetatieopname/""]"
12.015,12.015,Florakartering Staatsbosbeheer,beide,I,Voorlopige indeling; TK / TV alleen na methodecontrole,"TK,TV,V","Groeiplaatsen en lokale floristische toestand, voor zover de originele kartering dit vastlegt.",Eerst karteerinstructie en oorspronkelijke inventarisatie reconstrueren.,"Doelsoortenlijst, karteergrens, schaal, abundantie-eenheid, seizoen en herhalingsopzet.",Een uniforme methode voor alle records onder deze code: dit kan ik niet verifiëren. Zonder context minimaal V.,"29, 70","[""https://www.altwym.nl/projecten/florakartering-terschelling/"", ""https://ndff.nl/natuurdata/waarnemen-en-aanleveren/protocollen/overzicht-waarnemingen-via-protocol/""]"
12.202,12.202,Landelijk Meetnet Flora – Milieu- en Natuurkwaliteit (NEM),beide,TK,TV / verandering in bedekking binnen de bemonsterde vegetatie,TV,"Trends in samenstelling, bedekking en afgeleide vegetatie-/milieu-indicatoren.",Analyse van herhaalde permanente proefvlakken en consistente indicatorberekeningen.,"Proefvlak-ID/geometrie, volledige opname, bedekkingsschaal, herhaalronde en weging.",Plantindicatoren zijn geen directe chemische meting en bewijzen geen oorzaak.,30,"[""https://ndff.nl/natuurdata/waarnemen-en-aanleveren/protocollen/12-202-landelijk-meetnet-flora-milieu-en-natuurkwaliteit/""]"
12.204,12.204,Het Nieuwe Strepen (NEM),beide,TV,,,Verandering in verspreiding van vaatplanten binnen gedefinieerde kilometerhokken.,Bezettings-/detectieanalyse van onafhankelijke inventarisaties en herhaalde perioden.,"Hokselectie, onafhankelijke bezoeken, volledige lijsten, duur en doelsoorten.",Geen aantalstrend van planten uit aantallen bezette hokken.,31,"[""https://ndff.nl/natuurdata/waarnemen-en-aanleveren/protocollen/12-204-nieuwe-strepen-floron-nem/""]"
12.205,12.205,Monitoring Beoordeling Natuurkwaliteit EHS–N2000 (SNL-2014),beide,TK,Bij vergelijkbare complete monitoringsronden; anders I,I,Toestand en verandering van expliciet gedefinieerde natuurkwaliteitsindicatoren per beheertype.,Vergelijk complete beoordelingsronden na harmonisatie van criteria en gebiedsgrenzen.,"Monitoringsonderdeel, doelsoorten, karteergebied, beheertype, ronde en protocolversie.",Soortpunten alleen zijn geen volledige kwaliteitsbeoordeling; geen automatische jaarlijkse populatietrend.,"32, 33","[""https://ndff.nl/natuurdata/waarnemen-en-aanleveren/protocollen/12-205-uniforme-werkwijze-monitoring-natuurnetwerk-snl/"", ""https://www.bij12.nl/onderwerp/natuurinformatie/monitoring-en-natuurinformatie/werkwijze-monitoring-beoordeling-natuurnetwerk-natura-2000/""]"
12.211,12.211,Landelijk Meetnet Flora-aandachtssoorten,beide,TA,TK via expliciet gedefinieerde afgeleide indicatoren,TK,Routegebonden verandering in aantallen/abundantie van aandachtssoorten.,Herhaalde routeanalyse met behoud van de oorspronkelijke teleenheid en telcyclus.,"Routegeometrie en -ID, bezoeken, soortenlijst, telgegevens en niet-detecties.",NDFF-punten zonder de in Verspreidingsatlas bewaarde routes zijn geen volledige analysetabel.,34,"[""https://ndff.nl/natuurdata/waarnemen-en-aanleveren/protocollen/12-211-landelijk-meetnet-flora-aandachtssoorten-lmf-a/""]"
13.202,13.202,RAVON Meetnet Natura 2000 amfibieën en vissen,beide,TV,TA bij telgerichte deelmethoden,TA,"Verandering in bezetting en, waar daadwerkelijk geteld wordt, een aantalstrend van doelsoorten.",Soort- en methodegebonden bezettings- of telanalyse; bemonsteringseenheden behouden.,"Water-/monsterlocatie, soort, bemonsteringsmethode, inspanning, herhaling en detectie.","eDNA, visvangsten en amfibieëntellingen niet onder één uniforme aantalstrend samenvoegen.","35, 14","[""https://www.ravon.nl/publicaties/handleiding-meetnet-amfibieen-en-vissen-in-natura-2000-gebieden/"", ""https://longreads.cbs.nl/meetprogrammas-flora-en-fauna-2025/meetprogrammas/""]"
14.204,14.204,Punt Transect Telling,beide,TA,,,Relatieve aantalstrend van vogels in de winter op vaste telpunten.,Analyse van punt-/routetellingen met locatie- en jaareffecten.,"Vaste punten, telduur, winterperiode, volledige telling en wijzigingen.",Geen broedvogeltrend; geen absolute populatieschatting zonder extra onderbouwing.,36,"[""https://sovon.nl/tellen/telprojecten/punt-transect-telling-ptt""]"
17.002,17.002,Braakbalonderzoek,beide,TV,Voor de herhaalde NEM-uitwerking; losse monsters minimaal V,V,Verspreiding en verspreidingsverandering van kleine zoogdieren in het jachtgebied van uilen.,"Bezettingsanalyse met monsteromvang, herhaling en samenstelling van monsters.","Roest-/nestlocatie, verzamelperiode, monster-ID, prooisamenstelling en aantallen onderzochte resten.",Prooiaantallen zijn geen directe populatieaantallen; vindplaats braakbal is niet exacte vangplaats.,"37, 14","[""https://ndff.nl/natuurdata/waarnemen-en-aanleveren/protocollen/17-002-braakbalonderzoek-nem/"", ""https://longreads.cbs.nl/meetprogrammas-flora-en-fauna-2025/meetprogrammas/""]"
17.005,17.005,Atlas van de Nederlandse Zoogdieren 1992,beide,V,TV bij gekalibreerde vergelijking van onderzoeksperioden,TV,Historische verspreidingsreferentie van zoogdieren.,"Atlasvergelijking na harmonisatie van resolutie, soorten en onderzoeksdekking.","Oorspronkelijke data/periode, atlasmethode, taxonomie en geografische onzekerheid.",Atlasjaar 1992 is geen universeel waarnemingsjaar; geen jaarlijkse populatietrend.,38,"[""https://ndff.nl/natuurdata/waarnemen-en-aanleveren/protocollen/17-005-atlas-van-de-nederlandse-zoogdieren-1992/""]"
17.006,17.006,Atlas van de Nederlandse Vleermuizen 1997,beide,V,I voor oorspronkelijke functie-informatie; TV conditioneel,"I,TV",Historisch voorkomen en waar vastgelegd functies of verblijfplaatsen.,Historische vergelijking na correctie voor detectietechniek en waarnemingsinspanning.,"Onderzoeksperiode, detector-/inventarisatiemethode, functie en ruimtelijke precisie.",Techniek- en kennisontwikkeling kunnen schijnbare toename veroorzaken; geen homogene jaarlijkse telreeks.,39,"[""https://ndff.nl/natuurdata/waarnemen-en-aanleveren/protocollen/17-006-atlas-van-de-nederlandse-vleermuizen-1997/""]"
17.007,17.007,Bestrijding Muskusratten en Beverratten,beide,V,Beheer-/vangststatistiek; populatie-index alleen met aanvullende modellering,,Voorkomen en registratie van verwijderde dieren of operationele vangstresultaten.,"Vangst-per-inspanning alleen na controle van vangmiddel, plaatsing en effecten van verwijdering.","Vanglocatie, datum, vangmiddel, inzet/valnachten, vangststrategie en wegvanghistorie.",Meer of minder vangsten kan inzet of succes van bestrijding weerspiegelen; niet rechtstreeks een populatietrend.,40,"[""https://ndff.nl/natuurdata/waarnemen-en-aanleveren/protocollen/17-007-bestrijding-muskus-en-beverratten/""]"
17.204,17.204,Dagactieve Zoogdieren-Broedvogel Monitoring Project (DAZ-BMP) (NEM),beide,TA,V voor incidentele niet-trendgeschikte nevenwaarnemingen,V,Relatieve aantalstrends van voldoende getelde dagactieve zoogdiersoorten.,"Telmodel op terugkerende BMP-gebieden/bezoeken, met soortgerichte geschiktheidstoets.","BMP-gebied en bezoek, inspanning, getelde doelsoorten en nul-/ontbrekende tellingen.",Niet iedere aangetroffen zoogdiersoort levert een betrouwbare trend; geen automatisch resultaat voor kleine gebiedsuitsneden.,"41, 73","[""https://longreads.cbs.nl/meetprogrammas-flora-en-fauna-2022/meetprogrammas/"", ""https://www.cbs.nl/nl-nl/onze-diensten/methoden/onderzoeksomschrijvingen/korte-onderzoeksomschrijvingen/zoogdierenstatistiek""]"
17.208,17.208,Vleermuistransecttelling (NEM),beide,TA,Akoestische activiteits-/abundantie-index,,Verandering in gestandaardiseerde akoestische detectie van doelsoorten langs transecten.,Analyse van routegebonden akoestische index met vaste verwerking.,"Route, snelheid/duur, seizoen, weer, detectorinstelling, classificatie en meeteenheid.",Geluidscontacten zijn geen afzonderlijk herkenbare individuen; geen directe absolute populatietelling.,42,"[""https://ndff.nl/natuurdata/waarnemen-en-aanleveren/protocollen/17-208-vleermuistransecttelling-nem/""]"
17.209,17.209,Konijnen in de duinen (NEM),beide,TA,,,Relatieve aantalstrend van konijnen langs de getelde duinroutes.,Herhaalde route-/seizoensanalyse; weging en representativiteit van de routes toetsen.,"Vaste route, licht-/telwijze, seizoen, herhaalbezoeken en veranderingen in zichtbaarheid.",Trend langs routes niet zonder representativiteitstoets extrapoleren naar het gehele duingebied.,"41, 14","[""https://longreads.cbs.nl/meetprogrammas-flora-en-fauna-2022/meetprogrammas/"", ""https://longreads.cbs.nl/meetprogrammas-flora-en-fauna-2025/meetprogrammas/""]"
17.210,17.210,Uitvliegtellingen meervleermuizen,beide,TA,"Voor volledige, geldige tellingen van doelgroepen",V,Verandering in groepsgrootte van volwassen vrouwtjes bij onderzochte verblijven.,Kolonie-/verblijfplaatsreeks met kwaliteitsselectie en afstemming tussen uitvliegopeningen.,"Verblijf, datum, telvolledigheid, uitgangen, tellingmethode en eventuele verhuizing.",Onvolledige tellingen staan ook in NDFF maar worden uitgesloten van de officiële trend.,43,"[""https://ndff.nl/natuurdata/waarnemen-en-aanleveren/protocollen/17-210-uitvliegtellingen-meervleermuizen-nem/""]"
17.506,17.506,Vleermuisprotocol 2021,beide,I,TV / TA alleen binnen een aanvullend meerjarig ontwerp,"TA,TV",Aanwezigheid en ecologische functies van het onderzochte gebied voor vleermuizen.,Integratie van voorgeschreven bezoeken tot functie- en verblijfplaatsinventarisatie.,"Soort, onderzoeksfunctie, periode, bezoekduur, weer, waarnemingen en protocolversie.",Herhaalde bezoeken binnen één seizoen vormen geen meerjarige trend; nulresultaat is geen absolute afwezigheid.,44,"[""https://ndff.nl/natuurdata/waarnemen-en-aanleveren/protocollen/17-506-vleermuisprotocol-2021/""]"
LOS,,Losse waarnemingen,beide,V,TV bij geschikte datacompletering en gevalideerde bezettingsanalyse,TV,"Voorkomensbewijs, verspreidingskaarten, nieuwe vestigingen en gerichte signalering.",Validatie en biasbewuste analyse; eventueel bezoek-/lijstgeschiedenissen reconstrueren.,"Soort, plaats, tijd, bewijs, waarnemer-ID en beschikbare inspannings-/bezoekinformatie.",Aantallen meldingen of ingevoerde individuen niet als populatietrend presenteren.,"66, 71","[""https://ndff.nl/natuurdata/waarnemen-en-aanleveren/protocollen/"", ""https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2664.12158""]"
02.203,02.203,Provinciale epifytenmeetnetten korstmossen,alleen_openbaar,TK,TV / verandering in abundantieklassen,TV,Verandering in samenstelling en abundantie van epifyten op onderzochte boomgroepen.,Herhaalde boom-/locatieanalyse met consistente soorten- en indicatorscores.,"Boom-/locatie-ID, boomsoort, substraat, meetronde, tijd en abundantieklasse.",Boomvervanging en veranderde boomkenmerken scheiden van ecologische verandering; geen directe depositiemeting.,45,"[""https://ndff.nl/natuurdata/waarnemen-en-aanleveren/protocollen/2-203-provinciale-epifytenmeetnet-mossen-en-korstmossen-2/""]"
03.003,03.003,Tuinvlindertelling,alleen_openbaar,I,TV / TA bij vergelijkbare herhaalde tuintellingen,"TA,TV",Voorkomen en getelde vlinders in deelnemende tuinen tijdens de telling.,"Herhaalde-tuinanalyse met inspanning, datum/weer en deelnemersselectie.","Tuin-ID, telwijze, duur, periode en volledige soortenlijst.",Campagnetotalen zijn afhankelijk van deelnemers en omstandigheden; geen ruwe landelijke populatietrend.,46,"[""https://ndff.nl/natuurdata/waarnemen-en-aanleveren/protocollen/3-003-protocol-waarnemingen-tuinvlindertelling/""]"
03.203,03.203,Landelijk Meetprogramma Nachtvlinders (NEM),alleen_openbaar,TA,Gestandaardiseerde vangstindex,,Verandering in aantallen gevangen nachtvlinders bij vaste meetpunten.,Val-/nacht-/jaar-telmodel met seizoen en relevante weers- en methodevariabelen.,"Val-ID, lamp/valtype, bedrijfsduur, locatie, lege vangstnachten en gevolgde soortgroepen.",Vangsten zijn geen directe dichtheid; niet-geregistreerde optionele micro's zijn geen nulwaarnemingen.,47,"[""https://ndff.nl/natuurdata/waarnemen-en-aanleveren/protocollen/3-203-landelijk-meetprogramma-nachtvlinders-nem/""]"
07.001,07.001,Verspreidingsonderzoek libellen,alleen_openbaar,V,I met originele inventarisaties; TV met gevalideerd model,"I,TV",Verspreidingskaarten en historische/actuele vindplaatsen van libellen.,"Bezettingsanalyse na reconstructie van bezoeken, lijsten, inspanning en detectie.","Waarnemingsdatum, locatie, waarnemer en indien beschikbaar complete bezoeklijsten.",Metadata beschrijven positieve waarnemingen zonder nullen; geen directe aantalstrend.,"48, 72, 71","[""https://ndff.nl/natuurdata/waarnemen-en-aanleveren/protocollen/7-001-verspreidingsonderzoek-libellen/"", ""https://www.gbif.org/dataset/9296b0fc-7ea4-46de-b951-6dea892acd41"", ""https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2664.12158""]"
07.201,07.201,Landelijk Meetnet Libellen (NEM),alleen_openbaar,TA,TV met passende aanvullende analyse,TV,Relatieve aantalstrends op vaste routes; aparte maat bij larvenhuidjestellingen.,Route-/seizoensanalyse; volwassen dieren en larvenhuidjes als verschillende meeteenheden behandelen.,"Route, telstrook, bezoek, nulresultaten, weer, soortgerichte timing en methode.",Geen homogene vergelijking tussen afwijkende deelmethoden; geen absolute dichtheid zonder onderbouwing.,49,"[""https://vlinderstichting.nl/wat-kan-jij-doen/tellen/meetnetten/meetnet-libellen/""]"
10.201,10.201,Monitoring van reptielen in Nederland (NEM),alleen_openbaar,TA,,,Relatieve aantalstrends van reptielen op herhaald getelde trajecten.,"Tel-/indexmodel met locatie, jaar, seizoen en waar beschikbaar telomstandigheden.","Vast traject, bezoek, inspanning, weer, zoekmethode en nulresultaten.",Veranderde zichtbaarheid en zoekmethode kunnen de index veranderen; geen automatische absolute dichtheid.,"50, 51","[""https://www.ravon.nl/reptielen/"", ""https://www.ravon.nl/publicaties/handleiding-invoerapp-meetprogramma-reptielen/""]"
102.004,102.004,iNaturalist,alleen_openbaar,V,TV na passende datacompletering en modelvalidatie,TV,Gevalideerd voorkomensbewijs en verspreidingsanalyse op passende taxonomische/ruimtelijke schaal.,"Controle op determinatie, locatieprecisie en sampling bias.","Bewijs, validatiestatus, taxonomisch niveau, coördinatenonzekerheid en bron-ID.",Platformstatus bewijst geen steekproefkwaliteit; publicatie- of uploadactiviteit is geen trend.,"52, 71","[""https://ndff.nl/natuurdata/waarnemen-en-aanleveren/protocollen/102-004-inaturalist/"", ""https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2664.12158""]"
102.005,102.005,LiveAtlas,alleen_openbaar,I,TV / TA met volledige geschikte bezoekgegevens,"TA,TV","Soortenlijsten, seizoenpatronen en telresultaten van gedocumenteerde bezoeken.","Bezoekmodel met duur, route, waarnemer en volledigheid per soortgroep.","Route, tijdsduur, datum, waarnemer, complete-lijststatus per taxongroep en aantallen.",Niet elke lijst is volledig; niet-genoteerde soorten alleen als niet-detectie gebruiken waar verantwoord.,53,"[""https://ndff.nl/natuurdata/waarnemen-en-aanleveren/protocollen/102-005-liveatlas/""]"
